t,y_numerical,y_analytical,error
0.4950000000,0.9825021097,0.9822856342,0.0002164755
0.5000000000,0.9819894427,0.9817693801,0.0002200626
0.5050000000,0.9814674083,0.9812437451,0.0002236632
0.5100000000,0.9809359436,0.9807086667,0.0002272769
0.5150000000,0.9803949864,0.9801640830,0.0002309035
0.5200000000,0.9798444751,0.9796099327,0.0002345424
0.5250000000,0.9792843486,0.9790461553,0.0002381933
0.5300000000,0.9787145466,0.9784726907,0.0002418559
0.5350000000,0.9781350092,0.9778894794,0.0002455298
0.5400000000,0.9775456773,0.9772964627,0.0002492146
0.5450000000,0.9769464923,0.9766935823,0.0002529100
0.5500000000,0.9763373963,0.9760807807,0.0002566157
0.5550000000,0.9757183320,0.9754580008,0.0002603311
0.5600000000,0.9750892425,0.9748251864,0.0002640561
0.5650000000,0.9744500719,0.9741822816,0.0002677903
0.5700000000,0.9738007645,0.9735292313,0.0002715332
0.5750000000,0.9731412655,0.9728659810,0.0002752846
0.5800000000,0.9724715207,0.9721924766,0.0002790441
0.5850000000,0.9717914764,0.9715086650,0.0002828114
0.5900000000,0.9711010794,0.9708144934,0.0002865861
0.5950000000,0.9704002774,0.9701099096,0.0002903678
0.6000000000,0.9696890185,0.9693948622,0.0002941563
0.6050000000,0.9689672515,0.9686693003,0.0002979512
0.6100000000,0.9682349257,0.9679331735,0.0003017522
0.6150000000,0.9674919912,0.9671864322,0.0003055590
0.6200000000,0.9667383985,0.9664290274,0.0003093711
0.6250000000,0.9659740988,0.9656609105,0.0003131883
0.6300000000,0.9651990439,0.9648820336,0.0003170102
0.6350000000,0.9644131862,0.9640923496,0.0003208366
0.6400000000,0.9636164788,0.9632918116,0.0003246671
0.6450000000,0.9628088751,0.9624803738,0.0003285014
0.6500000000,0.9619903296,0.9616579905,0.0003323391
0.6550000000,0.9611607969,0.9608246170,0.0003361799
0.6600000000,0.9603202326,0.9599802090,0.0003400236
0.6650000000,0.9594685926,0.9591247228,0.0003438698
0.6700000000,0.9586058336,0.9582581154,0.0003477182
0.6750000000,0.9577319127,0.9573803442,0.0003515685
0.6800000000,0.9568467879,0.9564913676,0.0003554203
0.6850000000,0.9559504176,0.9555911441,0.0003592735
0.6900000000,0.9550427607,0.9546796331,0.0003631276
0.6950000000,0.9541237770,0.9537567947,0.0003669823
0.7000000000,0.9531934266,0.9528225892,0.0003708375
0.7050000000,0.9522516704,0.9518769778,0.0003746926
0.7100000000,0.9512984698,0.9509199222,0.0003785476
0.7150000000,0.9503337869,0.9499513849,0.0003824020
0.7200000000,0.9493575841,0.9489713285,0.0003862556
0.7250000000,0.9483698249,0.9479797168,0.0003901081
0.7300000000,0.9473704728,0.9469765137,0.0003939591
0.7350000000,0.9463594925,0.9459616840,0.0003978085
0.7400000000,0.9453368488,0.9449351929,0.0004016558
0.7450000000,0.9443025073,0.9438970064,0.0004055009
0.7500000000,0.9432564343,0.9428470908,0.0004093435
0.7550000000,0.9421985965,0.9417854133,0.0004131832
0.7600000000,0.9411289612,0.9407119414,0.0004170198
0.7650000000,0.9400474965,0.9396266435,0.0004208530
0.7700000000,0.9389541708,0.9385294883,0.0004246825
0.7750000000,0.9378489533,0.9374204452,0.0004285081
0.7800000000,0.9367318137,0.9362994843,0.0004323294
0.7850000000,0.9356027223,0.9351665760,0.0004361463
0.7900000000,0.9344616500,0.9340216917,0.0004399584
0.7950000000,0.9333085684,0.9328648029,0.0004437654
0.8000000000,0.9321434493,0.9316958822,0.0004475672
0.8050000000,0.9309662656,0.9305149023,0.0004513634
0.8100000000,0.9297769905,0.9293218368,0.0004551537
0.8150000000,0.9285755977,0.9281166597,0.0004589380
0.8200000000,0.9273620617,0.9268993458,0.0004627159
0.8250000000,0.9261363574,0.9256698702,0.0004664872
0.8300000000,0.9248984605,0.9244282088,0.0004702517
0.8350000000,0.9236483469,0.9231743379,0.0004740090
0.8400000000,0.9223859936,0.9219082346,0.0004777590
0.8450000000,0.9211113778,0.9206298764,0.0004815014
0.8500000000,0.9198244773,0.9193392415,0.0004852358
0.8550000000,0.9185252707,0.9180363085,0.0004889622
0.8600000000,0.9172137368,0.9167210567,0.0004926802
0.8650000000,0.9158898555,0.9153934660,0.0004963895
0.8700000000,0.9145536068,0.9140535168,0.0005000901
0.8750000000,0.9132049715,0.9127011900,0.0005037815
0.8800000000,0.9118439309,0.9113364674,0.0005074636
0.8850000000,0.9104704670,0.9099593309,0.0005111361
0.8900000000,0.9090845622,0.9085697634,0.0005147988
0.8950000000,0.9076861995,0.9071677481,0.0005184514
0.9000000000,0.9062753626,0.9057532688,0.0005220938
0.9050000000,0.9048520356,0.9043263100,0.0005257256
0.9100000000,0.9034162033,0.9028868566,0.0005293467
0.9150000000,0.9019678511,0.9014348942,0.0005329569
0.9200000000,0.9005069647,0.8999704089,0.0005365558
0.9250000000,0.8990335306,0.8984933873,0.0005401433
0.9300000000,0.8975475360,0.8970038168,0.0005437192
0.9350000000,0.8960489682,0.8955016850,0.0005472832
0.9400000000,0.8945378155,0.8939869804,0.0005508351
0.9450000000,0.8930140665,0.8924596919,0.0005543747
0.9500000000,0.8914777106,0.8909198089,0.0005579017
0.9550000000,0.8899287375,0.8893673214,0.0005614161
0.9600000000,0.8883671376,0.8878022202,0.0005649174
0.9650000000,0.8867929018,0.8862244962,0.0005684056
0.9700000000,0.8852060217,0.8846341413,0.0005718804
0.9750000000,0.8836064892,0.8830311476,0.0005753416
0.9800000000,0.8819942971,0.8814155081,0.0005787890
0.9850000000,0.8803694383,0.8797872159,0.0005822224
0.9900000000,0.8787319067,0.8781462651,0.0005856416
0.9950000000,0.8770816965,0.8764926501,0.0005890464
1.0000000000,0.8754188024,0.8748263659,0.0005924365
1.0050000000,0.8737432200,0.8731474081,0.0005958118
1.0100000000,0.8720549449,0.8714557728,0.0005991721
1.0150000000,0.8703539738,0.8697514566,0.0006025172
1.0200000000,0.8686403036,0.8680344567,0.0006058469
1.0250000000,0.8669139318,0.8663047709,0.0006091610
1.0300000000,0.8651748566,0.8645623974,0.0006124592
1.0350000000,0.8634230766,0.8628073350,0.0006157415
1.0400000000,0.8616585908,0.8610395832,0.0006190076
1.0450000000,0.8598813992,0.8592591418,0.0006222573
1.0500000000,0.8580915018,0.8574660113,0.0006254905
1.0550000000,0.8562888995,0.8556601926,0.0006287069
1.0600000000,0.8544735937,0.8538416873,0.0006319064
1.0650000000,0.8526455861,0.8520104973,0.0006350888
1.0700000000,0.8508048793,0.8501666254,0.0006382539
1.0750000000,0.8489514760,0.8483100745,0.0006414015
1.0800000000,0.8470853798,0.8464408484,0.0006445315
1.0850000000,0.8452065948,0.8445589511,0.0006476436
1.0900000000,0.8433151253,0.8426643875,0.0006507378
1.0950000000,0.8414109765,0.8407571628,0.0006538138
1.1000000000,0.8394941540,0.8388372826,0.0006568714
1.1050000000,0.8375646638,0.8369047533,0.0006599105
1.1100000000,0.8356225127,0.8349595817,0.0006629309
1.1150000000,0.8336677077,0.8330017752,0.0006659325
1.1200000000,0.8317002566,0.8310313415,0.0006689150
1.1250000000,0.8297201675,0.8290482891,0.0006718784
1.1300000000,0.8277274492,0.8270526269,0.0006748224
1.1350000000,0.8257221110,0.8250443642,0.0006777469
1.1400000000,0.8237041627,0.8230235109,0.0006806517
1.1450000000,0.8216736144,0.8209900777,0.0006835367
1.1500000000,0.8196304770,0.8189440753,0.0006864017
1.1550000000,0.8175747618,0.8168855152,0.0006892466
1.1600000000,0.8155064806,0.8148144095,0.0006920711
1.1650000000,0.8134256459,0.8127307707,0.0006948752
1.1700000000,0.8113322704,0.8106346117,0.0006976587
1.1750000000,0.8092263674,0.8085259460,0.0007004214
1.1800000000,0.8071079510,0.8064047877,0.0007031633
1.1850000000,0.8049770353,0.8042711513,0.0007058841
1.1900000000,0.8028336354,0.8021250518,0.0007085836
1.1950000000,0.8006777666,0.7999665047,0.0007112619
1.2000000000,0.7985094448,0.7977955262,0.0007139186
1.2050000000,0.7963286863,0.7956121326,0.0007165537
1.2100000000,0.7941355081,0.7934163411,0.0007191670
1.2150000000,0.7919299276,0.7912081691,0.0007217585
1.2200000000,0.7897119626,0.7889876348,0.0007243278
1.2250000000,0.7874816315,0.7867547565,0.0007268750
1.2300000000,0.7852389532,0.7845095534,0.0007293999
1.2350000000,0.7829839471,0.7822520448,0.0007319023
1.2400000000,0.7807166330,0.7799822509,0.0007343821
1.2450000000,0.7784370312,0.7777001921,0.0007368392
1.2500000000,0.7761451627,0.7754058893,0.0007392734
1.2550000000,0.7738410487,0.7730993640,0.0007416847
1.2600000000,0.7715247111,0.7707806382,0.0007440728
1.2650000000,0.7691961720,0.7684497343,0.0007464377
1.2700000000,0.7668554544,0.7661066751,0.0007487793
1.2750000000,0.7645025815,0.7637514842,0.0007510974
1.2800000000,0.7621375771,0.7613841852,0.0007533919
1.2850000000,0.7597604652,0.7590048026,0.0007556626
1.2900000000,0.7573712707,0.7566133612,0.0007579096
1.2950000000,0.7549700187,0.7542098862,0.0007601325
1.3000000000,0.7525567349,0.7517944035,0.0007623314
1.3050000000,0.7501314454,0.7493669393,0.0007645061
1.3100000000,0.7476941767,0.7469275203,0.0007666565
1.3150000000,0.7452449560,0.7444761736,0.0007687825
1.3200000000,0.7427838108,0.7420129269,0.0007708839
1.3250000000,0.7403107690,0.7395378083,0.0007729607
1.3300000000,0.7378258591,0.7370508463,0.0007750128
1.3350000000,0.7353291101,0.7345520701,0.0007770400
1.3400000000,0.7328205513,0.7320415090,0.0007790422
1.3450000000,0.7303002126,0.7295191931,0.0007810194
1.3500000000,0.7277681242,0.7269851528,0.0007829714
1.3550000000,0.7252243170,0.7244394188,0.0007848982
1.3600000000,0.7226688222,0.7218820226,0.0007867996
1.3650000000,0.7201016714,0.7193129959,0.0007886755
1.3700000000,0.7175228968,0.7167323710,0.0007905258
1.3750000000,0.7149325309,0.7141401804,0.0007923505
1.3800000000,0.7123306068,0.7115364574,0.0007941495
