t,y_numerical,y_analytical,error
0.0000000000,1.0000000000,1.0000000000,0.0000000000
0.2500000000,1.0000000000,0.9975585820,0.0024414180
0.5000000000,0.9922281054,0.9817693801,0.0104587253
0.7500000000,0.9635667195,0.9428470908,0.0207196287
1.0000000000,0.9055972569,0.8748263659,0.0307708910
1.2500000000,0.8142735191,0.7754058893,0.0388676298
1.5000000000,0.6895357299,0.6456811742,0.0438545557
1.7500000000,0.5348360979,0.4897569173,0.0450791805
2.0000000000,0.3565655595,0.3142429368,0.0423226227
2.2500000000,0.1633874605,0.1276493994,0.0357380611
2.5000000000,-0.0345028103,-0.0602932364,0.0257904261
2.7500000000,-0.2261630116,-0.2393567627,0.0131937511
3.0000000000,-0.4006978534,-0.3995427101,0.0011551433
3.2500000000,-0.5480215142,-0.5317753014,0.0162462128
3.5000000000,-0.6595485547,-0.6285212658,0.0310272889
3.7500000000,-0.7287755878,-0.6843014651,0.0444741227
4.0000000000,-0.7517215302,-0.6960652386,0.0556562916
4.2500000000,-0.7272020529,-0.6634063071,0.0637957457
4.5000000000,-0.6569234121,-0.5886084603,0.0683149518
4.7500000000,-0.5453915090,-0.4765194704,0.0688720385
5.0000000000,-0.3996430935,-0.3342620711,0.0653810224
